date,rate
1990-01-01,7.9
1990-02-01,8.35
1990-03-01,8.53
1990-04-01,8.67
1990-05-01,9.09
1990-06-01,8.36
1990-07-01,8.32
1990-08-01,7.96
1990-09-01,8.28
1990-10-01,8.12
1990-11-01,7.88
1990-12-01,7.65
1991-01-01,7.3
1991-02-01,7.1
1991-03-01,7.41
1991-04-01,7.3
1991-05-01,7.14
1991-06-01,7.21
1991-07-01,7.39
1991-08-01,7.22
1991-09-01,6.67
1991-10-01,6.26
1991-11-01,6.02
1991-12-01,5.71
1992-01-01,5.13
1992-02-01,5.72
1992-03-01,5.94
1992-04-01,6.07
1992-05-01,5.97
1992-06-01,5.84
1992-07-01,5.38
1992-08-01,4.97
1992-09-01,4.64
1992-10-01,4.18
1992-11-01,5.07
1992-12-01,5.39
1993-01-01,5.03
1993-02-01,4.69
1993-03-01,4.31
1993-04-01,4.41
1993-05-01,4.23
1993-06-01,4.54
1993-07-01,4.37
1993-08-01,4.55
1993-09-01,4.21
1993-10-01,4.18
1993-11-01,4.42
1993-12-01,4.54
1994-01-01,4.66
1994-02-01,4.53
1994-03-01,5.19
1994-04-01,6.06
1994-05-01,6.2
1994-06-01,6.33
1994-07-01,6.53
1994-08-01,6.35
1994-09-01,6.44
1994-10-01,7.01
1994-11-01,7.21
1994-12-01,7.63
1995-01-01,7.84
1995-02-01,7.44
1995-03-01,6.92
1995-04-01,6.86
1995-05-01,6.75
1995-06-01,5.78
1995-07-01,5.87
1995-08-01,6.08
1995-09-01,5.89
1995-10-01,5.89
1995-11-01,5.62
1995-12-01,5.37
1996-01-01,5.26
1996-02-01,5.05
1996-03-01,5.4
1996-04-01,5.91
1996-05-01,6.19
1996-06-01,6.43
1996-07-01,6.33
1996-08-01,6.25
1996-09-01,6.54
1996-10-01,6.22
1996-11-01,5.93
1996-12-01,5.72
1997-01-01,6.13
1997-02-01,6.03
1997-03-01,6.25
1997-04-01,6.58
1997-05-01,6.41
1997-06-01,6.36
1997-07-01,6.19
1997-08-01,5.99
1997-09-01,6.06
1997-10-01,5.83
1997-11-01,5.77
1997-12-01,5.8
1998-01-01,5.62
1998-02-01,5.38
1998-03-01,5.61
1998-04-01,5.58
1998-05-01,5.62
1998-06-01,5.51
1998-07-01,5.47
1998-08-01,5.44
1998-09-01,4.83
1998-10-01,4.1
1998-11-01,4.39
1998-12-01,4.44
1999-01-01,4.57
1999-02-01,4.65
1999-03-01,5.28
1999-04-01,5.08
1999-05-01,5.16
1999-06-01,5.63
1999-07-01,5.65
1999-08-01,5.76
1999-09-01,5.82
1999-10-01,5.83
1999-11-01,5.93
1999-12-01,6.11
2000-01-01,6.42
2000-02-01,6.63
2000-03-01,6.54
2000-04-01,6.41
2000-05-01,6.68
2000-06-01,6.56
2000-07-01,6.24
2000-08-01,6.2
2000-09-01,6.01
2000-10-01,5.92
2000-11-01,5.82
2000-12-01,5.55
2001-01-01,4.82
2001-02-01,4.59
2001-03-01,4.48
2001-04-01,4.37
2001-05-01,4.5
2001-06-01,4.49
2001-07-01,4.47
2001-08-01,4.09
2001-09-01,4.1
2001-10-01,3.18
2001-11-01,2.91
2001-12-01,3.28
2002-01-01,3.75
2002-02-01,3.62
2002-03-01,3.73
2002-04-01,4.29
2002-05-01,3.78
2002-06-01,3.72
2002-07-01,3.35
2002-08-01,2.6
2002-09-01,2.36
2002-10-01,2.11
2002-11-01,2.14
2002-12-01,2.51
2003-01-01,2.22
2003-02-01,2.17
2003-03-01,1.89
2003-04-01,1.92
2003-05-01,1.93
2003-06-01,1.61
2003-07-01,1.66
2003-08-01,2.38
2003-09-01,2.62
2003-10-01,1.93
2003-11-01,2.44
2003-12-01,2.64
2004-01-01,2.47
2004-02-01,2.36
2004-03-01,2.15
2004-04-01,2.06
2004-05-01,2.86
2004-06-01,3.14
2004-07-01,3.08
2004-08-01,3.06
2004-09-01,2.74
2004-10-01,2.92
2004-11-01,2.89
2004-12-01,3.28
2005-01-01,3.28
2005-02-01,3.43
2005-03-01,3.76
2005-04-01,3.9
2005-05-01,3.71
2005-06-01,3.55
2005-07-01,3.77
2005-08-01,4.09
2005-09-01,3.8
2005-10-01,4.23
2005-11-01,4.44
2005-12-01,4.44
2006-01-01,4.3
2006-02-01,4.54
2006-03-01,4.68
2006-04-01,4.85
2006-05-01,4.95
