date,three_month,one_year,two_year,three_year,five_year,seven_year,ten_year,twenty_year,thirty_year
2023-05-01,5.27,4.86,4.14,3.85,3.64,3.62,3.59,3.95,3.84
2023-06-01,5.5,5.11,4.33,3.98,3.7,3.66,3.61,3.98,3.84
2023-07-01,5.44,5.43,4.94,4.56,4.19,4.03,3.86,4.08,3.87
2023-08-01,5.54,5.38,4.92,4.57,4.24,4.15,4.05,4.3,4.11
2023-09-01,5.53,5.36,4.87,4.57,4.29,4.27,4.18,4.48,4.29
2023-10-01,5.62,5.49,5.12,4.88,4.72,4.73,4.69,5,4.81
2023-11-01,5.57,5.37,4.95,4.76,4.67,4.75,4.77,5.13,4.96
2023-12-01,5.43,5.05,4.56,4.31,4.14,4.22,4.22,4.58,4.4
2024-01-01,5.46,4.8,4.33,4.09,3.93,3.95,3.95,4.25,4.08
2024-02-01,5.42,4.68,4.2,3.96,3.8,3.83,3.87,4.21,4.1
2024-03-01,5.42,4.94,4.54,4.32,4.17,4.2,4.19,4.46,4.33
2024-04-01,5.44,5.06,4.72,4.51,4.34,4.33,4.33,4.58,4.47
2024-05-01,5.46,5.21,4.96,4.79,4.64,4.64,4.63,4.85,4.74
2024-06-01,5.52,5.14,4.82,4.62,4.42,4.41,4.41,4.63,4.55
2024-07-01,5.47,5.1,4.77,4.58,4.44,4.45,4.48,4.76,4.64
2024-08-01,5.37,4.62,4.16,3.96,3.84,3.89,3.99,4.35,4.27
2024-09-01,5.19,4.35,3.88,3.73,3.65,3.73,3.84,4.21,4.13
