date,rate
1990-01-01,8
1990-02-01,8.44
1990-03-01,8.61
1990-04-01,8.63
1990-05-01,9.04
1990-06-01,8.43
1990-07-01,8.41
1990-08-01,8.36
1990-09-01,9.03
1990-10-01,8.84
1990-11-01,8.7
1990-12-01,8.36
1991-01-01,8.14
1991-02-01,8.09
1991-03-01,8.28
1991-04-01,8.25
1991-05-01,8.18
1991-06-01,8.34
1991-07-01,8.44
1991-08-01,8.38
1991-09-01,8.05
1991-10-01,7.81
1991-11-01,7.93
1991-12-01,7.92
1992-01-01,7.46
1992-02-01,7.82
1992-03-01,7.9
1992-04-01,7.9
1992-05-01,8.01
1992-06-01,7.9
1992-07-01,7.76
1992-08-01,7.46
1992-09-01,7.38
1992-10-01,7.3
1992-11-01,7.66
1992-12-01,7.57
1993-01-01,7.33
1993-02-01,7.21
1993-03-01,6.83
1993-04-01,6.97
1993-05-01,6.86
1993-06-01,6.88
1993-07-01,6.69
1993-08-01,6.56
1993-09-01,6.09
1993-10-01,5.98
1993-11-01,6.02
1993-12-01,6.28
1994-01-01,6.41
1994-02-01,6.31
1994-03-01,6.79
1994-04-01,7.43
1994-05-01,7.33
1994-06-01,7.39
1994-07-01,7.62
1994-08-01,7.41
1994-09-01,7.46
1994-10-01,7.86
1994-11-01,8.06
1994-12-01,8.02
1995-01-01,7.93
1995-02-01,7.75
1995-03-01,7.45
1995-04-01,7.39
1995-05-01,7.35
1995-06-01,6.61
1995-07-01,6.63
1995-08-01,6.92
1995-09-01,6.61
1995-10-01,6.48
1995-11-01,6.29
1995-12-01,6.1
1996-01-01,5.97
1996-02-01,6.08
1996-03-01,6.38
1996-04-01,6.66
1996-05-01,6.91
1996-06-01,7.01
1996-07-01,6.91
1996-08-01,6.84
1996-09-01,7.07
1996-10-01,6.88
1996-11-01,6.68
1996-12-01,6.36
1997-01-01,6.75
1997-02-01,6.74
1997-03-01,6.83
1997-04-01,7.09
1997-05-01,6.93
1997-06-01,6.9
1997-07-01,6.74
1997-08-01,6.46
1997-09-01,6.58
1997-10-01,6.33
1997-11-01,6.21
1997-12-01,6.04
1998-01-01,5.86
1998-02-01,5.87
1998-03-01,6.03
1998-04-01,5.9
1998-05-01,5.94
1998-06-01,5.78
1998-07-01,5.63
1998-08-01,5.67
1998-09-01,5.34
1998-10-01,4.9
1998-11-01,5.23
1998-12-01,5.06
1999-01-01,5.15
1999-02-01,5.19
1999-03-01,5.67
1999-04-01,5.67
1999-05-01,5.67
1999-06-01,5.94
1999-07-01,6.02
1999-08-01,6.13
1999-09-01,6.08
1999-10-01,6.15
1999-11-01,6.19
1999-12-01,6.3
2000-01-01,6.61
2000-02-01,6.43
2000-03-01,6.16
2000-04-01,5.84
2000-05-01,5.98
2000-06-01,5.95
2000-07-01,5.87
2000-08-01,5.74
2000-09-01,5.67
2000-10-01,5.93
2000-11-01,5.78
2000-12-01,5.64
2001-01-01,5.35
2001-02-01,5.46
2001-03-01,5.29
2001-04-01,5.49
2001-05-01,5.75
2001-06-01,5.71
2001-07-01,5.7
2001-08-01,5.53
2001-09-01,5.5
2001-10-01,5.38
2001-11-01,4.79
2001-12-01,5.26
2002-01-01,5.56
2002-02-01,5.4
2002-03-01,5.6
2002-04-01,5.92
2002-05-01,5.69
2002-06-01,5.76
2002-07-01,5.67
2002-08-01,5.51
2002-09-01,5.02
2002-10-01,5.01
2002-11-01,5.3
2002-12-01,5.22
2003-01-01,5.18
2003-02-01,5.01
2003-03-01,4.92
2003-04-01,5.06
2003-05-01,5.01
2003-06-01,4.64
2003-07-01,4.86
2003-08-01,5.47
2003-09-01,5.38
2003-10-01,5.05
2003-11-01,5.3
2003-12-01,5.28
2004-01-01,5.3
2004-02-01,5.13
2004-03-01,4.99
2004-04-01,5.01
2004-05-01,5.41
2004-06-01,5.48
2004-07-01,5.35
2004-08-01,5.26
2004-09-01,5.01
2004-10-01,5.06
2004-11-01,4.92
2004-12-01,5.08
2005-01-01,4.85
2005-02-01,4.63
2005-03-01,4.69
2005-04-01,4.72
2005-05-01,4.53
2005-06-01,4.27
2005-07-01,4.28
2005-08-01,4.46
2005-09-01,4.28
2005-10-01,4.58
2005-11-01,4.74
2005-12-01,4.68
2006-01-01,4.52
2006-02-01,4.69
2006-03-01,4.56
2006-04-01,4.9
2006-05-01,5.23
2006-06-01,5.2
2006-07-01,5.2
2006-08-01,5.07
2006-09-01,4.87
2006-10-01,4.76
2006-11-01,4.68
2006-12-01,4.54
2007-01-01,4.79
2007-02-01,4.93
2007-03-01,4.68
2007-04-01,4.84
2007-05-01,4.81
2007-06-01,5.06
2007-07-01,5.09
2007-08-01,4.9
2007-09-01,4.84
