date,rate
2007-10-01,4.79
2007-11-01,4.64
2007-12-01,4.34
2008-01-01,4.35
2008-02-01,4.32
2008-03-01,4.42
2008-04-01,4.4
2008-05-01,4.49
2008-06-01,4.68
2008-07-01,4.55
2008-08-01,4.57
2008-09-01,4.36
2008-10-01,4.22
2008-11-01,4.33
2008-12-01,3.22
2009-01-01,2.83
2009-02-01,3.47
2009-03-01,3.64
2009-04-01,3.51
2009-05-01,4.09
2009-06-01,4.55
2009-07-01,4.34
2009-08-01,4.42
2009-09-01,4.19
2009-10-01,3.97
2009-11-01,4.26
2009-12-01,4.26
2010-01-01,4.65
2010-02-01,4.56
2010-03-01,4.56
2010-04-01,4.74
2010-05-01,4.53
2010-06-01,4.19
2010-07-01,3.88
2010-08-01,4.06
2010-09-01,3.65
2010-10-01,3.71
2010-11-01,4.01
2010-12-01,4.24
2011-01-01,4.39
2011-02-01,4.62
2011-03-01,4.48
2011-04-01,4.48
2011-05-01,4.38
2011-06-01,4.15
2011-07-01,4.4
2011-08-01,4.07
2011-09-01,3.51
2011-10-01,2.76
2011-11-01,2.99
2011-12-01,3.12
2012-01-01,2.98
2012-02-01,3.01
2012-03-01,3.15
2012-04-01,3.35
2012-05-01,3.16
2012-06-01,2.53
2012-07-01,2.69
2012-08-01,2.6
2012-09-01,2.69
2012-10-01,2.81
2012-11-01,2.89
2012-12-01,2.8
2013-01-01,3.04
2013-02-01,3.21
2013-03-01,3.06
2013-04-01,3.08
2013-05-01,2.83
2013-06-01,3.27
2013-07-01,3.48
2013-08-01,3.77
2013-09-01,3.79
2013-10-01,3.72
2013-11-01,3.69
2013-12-01,3.86
2014-01-01,3.92
2014-02-01,3.55
2014-03-01,3.55
2014-04-01,3.6
2014-05-01,3.41
2014-06-01,3.38
2014-07-01,3.4
2014-08-01,3.29
2014-09-01,3.17
2014-10-01,3.12
2014-11-01,3.07
2014-12-01,2.95
2015-01-01,2.69
2015-02-01,2.25
2015-03-01,2.68
2015-04-01,2.47
2015-05-01,2.82
2015-06-01,2.94
2015-07-01,3.2
2015-08-01,2.86
2015-09-01,2.93
2015-10-01,2.85
2015-11-01,2.95
2015-12-01,2.91
2016-01-01,2.98
2016-02-01,2.77
2016-03-01,2.7
2016-04-01,2.62
2016-05-01,2.71
2016-06-01,2.63
2016-07-01,2.24
2016-08-01,2.24
2016-09-01,2.23
2016-10-01,2.34
2016-11-01,2.58
2016-12-01,3.1
2017-01-01,3.04
2017-02-01,3.08
2017-03-01,3.06
2017-04-01,2.98
2017-05-01,3
2017-06-01,2.87
2017-07-01,2.86
2017-08-01,2.86
2017-09-01,2.77
2017-10-01,2.87
2017-11-01,2.85
2017-12-01,2.76
2018-01-01,2.81
2018-02-01,3.01
2018-03-01,3.09
2018-04-01,2.97
2018-05-01,3.13
2018-06-01,3.04
2018-07-01,2.99
2018-08-01,3.13
2018-09-01,3.07
2018-10-01,3.24
2018-11-01,3.38
2018-12-01,3.27
2019-01-01,2.97
2019-02-01,3.03
2019-03-01,3.13
2019-04-01,2.89
2019-05-01,2.92
2019-06-01,2.53
2019-07-01,2.55
2019-08-01,2.44
2019-09-01,1.95
2019-10-01,2.11
2019-11-01,2.21
2019-12-01,2.28
2020-01-01,2.33
2020-02-01,2.01
2020-03-01,1.66
2020-04-01,1.27
2020-05-01,1.27
2020-06-01,1.46
2020-07-01,1.43
2020-08-01,1.23
2020-09-01,1.43
2020-10-01,1.45
2020-11-01,1.63
2020-12-01,1.66
2021-01-01,1.66
2021-02-01,1.84
2021-03-01,2.23
2021-04-01,2.34
2021-05-01,2.3
2021-06-01,2.3
2021-07-01,2.07
2021-08-01,1.86
2021-09-01,1.92
2021-10-01,2.04
2021-11-01,1.98
2021-12-01,1.77
2022-01-01,2.01
2022-02-01,2.12
2022-03-01,2.11
2022-04-01,2.44
2022-05-01,3.07
2022-06-01,3.09
2022-07-01,3.11
2022-08-01,2.92
2022-09-01,3.37
2022-10-01,3.73
2022-11-01,4.14
2022-12-01,3.64
2023-01-01,3.88
2023-02-01,3.55
2023-03-01,3.97
2023-04-01,3.64
2023-05-01,3.84
2023-06-01,3.84
2023-07-01,3.87
2023-08-01,4.11
2023-09-01,4.29
2023-10-01,4.81
2023-11-01,4.96
2023-12-01,4.4
2024-01-01,4.08
2024-02-01,4.1
2024-03-01,4.33
2024-04-01,4.47
2024-05-01,4.74
2024-06-01,4.55
2024-07-01,4.64
2024-08-01,4.27
2024-09-01,4.13
