date,rate
1990-01-01,7.94
1990-02-01,8.42
1990-03-01,8.59
1990-04-01,8.65
1990-05-01,9.08
1990-06-01,8.44
1990-07-01,8.43
1990-08-01,8.29
1990-09-01,8.9
1990-10-01,8.71
1990-11-01,8.57
1990-12-01,8.22
1991-01-01,7.97
1991-02-01,7.91
1991-03-01,8.12
1991-04-01,8.07
1991-05-01,8.01
1991-06-01,8.14
1991-07-01,8.26
1991-08-01,8.2
1991-09-01,7.81
1991-10-01,7.45
1991-11-01,7.48
1991-12-01,7.32
1992-01-01,6.78
1992-02-01,7.36
1992-03-01,7.38
1992-04-01,7.46
1992-05-01,7.56
1992-06-01,7.39
1992-07-01,7.1
1992-08-01,6.72
1992-09-01,6.56
1992-10-01,6.23
1992-11-01,6.88
1992-12-01,6.94
1993-01-01,6.6
1993-02-01,6.38
1993-03-01,5.94
1993-04-01,6.06
1993-05-01,5.96
1993-06-01,6.07
1993-07-01,5.8
1993-08-01,5.85
1993-09-01,5.46
1993-10-01,5.34
1993-11-01,5.56
1993-12-01,5.82
1994-01-01,5.92
1994-02-01,5.77
1994-03-01,6.28
1994-04-01,7.16
1994-05-01,7.09
1994-06-01,7.12
1994-07-01,7.34
1994-08-01,7.13
1994-09-01,7.19
1994-10-01,7.66
1994-11-01,7.91
1994-12-01,7.92
1995-01-01,7.88
1995-02-01,7.66
1995-03-01,7.23
1995-04-01,7.14
1995-05-01,7.09
1995-06-01,6.2
1995-07-01,6.21
1995-08-01,6.5
1995-09-01,6.22
1995-10-01,6.15
1995-11-01,5.98
1995-12-01,5.71
1996-01-01,5.6
1996-02-01,5.63
1996-03-01,5.99
1996-04-01,6.31
1996-05-01,6.68
1996-06-01,6.87
1996-07-01,6.74
1996-08-01,6.65
1996-09-01,6.92
1996-10-01,6.65
1996-11-01,6.38
1996-12-01,6.08
1997-01-01,6.54
1997-02-01,6.47
1997-03-01,6.58
1997-04-01,6.9
1997-05-01,6.69
1997-06-01,6.66
1997-07-01,6.45
1997-08-01,6.2
1997-09-01,6.31
1997-10-01,6.04
1997-11-01,5.91
1997-12-01,5.86
1998-01-01,5.67
1998-02-01,5.57
1998-03-01,5.72
1998-04-01,5.62
1998-05-01,5.67
1998-06-01,5.53
1998-07-01,5.44
1998-08-01,5.46
1998-09-01,5.05
1998-10-01,4.33
1998-11-01,4.77
1998-12-01,4.67
1999-01-01,4.69
1999-02-01,4.75
1999-03-01,5.4
1999-04-01,5.27
1999-05-01,5.38
1999-06-01,5.78
1999-07-01,5.85
1999-08-01,5.92
1999-09-01,5.99
1999-10-01,6
1999-11-01,6.06
1999-12-01,6.21
2000-01-01,6.58
2000-02-01,6.62
2000-03-01,6.39
2000-04-01,6
2000-05-01,6.29
2000-06-01,6.2
2000-07-01,6
2000-08-01,6
2000-09-01,5.68
2000-10-01,5.83
2000-11-01,5.74
2000-12-01,5.52
2001-01-01,4.92
2001-02-01,5.1
2001-03-01,4.87
2001-04-01,4.98
2001-05-01,5.3
2001-06-01,5.39
2001-07-01,5.37
2001-08-01,5.11
2001-09-01,4.99
2001-10-01,4.55
2001-11-01,4.24
2001-12-01,4.75
2002-01-01,5.2
2002-02-01,5.02
2002-03-01,4.98
2002-04-01,5.44
2002-05-01,5.08
2002-06-01,5.06
2002-07-01,4.85
2002-08-01,4.47
2002-09-01,3.98
2002-10-01,3.72
2002-11-01,4.01
2002-12-01,4.22
2003-01-01,4.07
2003-02-01,4.01
2003-03-01,3.68
2003-04-01,3.84
2003-05-01,3.88
2003-06-01,3.43
2003-07-01,3.56
2003-08-01,4.44
2003-09-01,4.61
2003-10-01,3.96
2003-11-01,4.4
2003-12-01,4.4
2004-01-01,4.38
2004-02-01,4.18
2004-03-01,4
2004-04-01,3.91
2004-05-01,4.53
2004-06-01,4.71
2004-07-01,4.57
2004-08-01,4.48
2004-09-01,4.13
2004-10-01,4.21
2004-11-01,4.11
2004-12-01,4.38
2005-01-01,4.23
2005-02-01,4.15
2005-03-01,4.38
2005-04-01,4.46
2005-05-01,4.21
2005-06-01,3.91
2005-07-01,4.06
2005-08-01,4.32
2005-09-01,4.02
2005-10-01,4.39
2005-11-01,4.58
2005-12-01,4.52
2006-01-01,4.37
2006-02-01,4.57
2006-03-01,4.59
2006-04-01,4.88
2006-05-01,5.14
2006-06-01,5.11
2006-07-01,5.15
2006-08-01,4.99
2006-09-01,4.73
2006-10-01,4.62
2006-11-01,4.57
2006-12-01,4.43
2007-01-01,4.68
2007-02-01,4.84
2007-03-01,4.56
2007-04-01,4.65
2007-05-01,4.64
2007-06-01,4.95
2007-07-01,5
2007-08-01,4.76
2007-09-01,4.56
2007-10-01,4.56
2007-11-01,4.36
2007-12-01,3.89
2008-01-01,3.91
2008-02-01,3.62
2008-03-01,3.54
2008-04-01,3.57
2008-05-01,3.78
2008-06-01,3.98
2008-07-01,4.01
2008-08-01,3.97
2008-09-01,3.74
2008-10-01,3.77
2008-11-01,3.96
2008-12-01,2.72
2009-01-01,2.46
2009-02-01,2.76
2009-03-01,2.91
2009-04-01,2.68
2009-05-01,3.21
2009-06-01,3.71
2009-07-01,3.55
2009-08-01,3.66
2009-09-01,3.38
2009-10-01,3.21
2009-11-01,3.45
2009-12-01,3.28
2010-01-01,3.85
2010-02-01,3.68
2010-03-01,3.61
2010-04-01,3.89
2010-05-01,3.72
2010-06-01,3.29
2010-07-01,2.96
2010-08-01,2.99
2010-09-01,2.58
2010-10-01,2.54
2010-11-01,2.66
2010-12-01,2.97
2011-01-01,3.36
2011-02-01,3.48
2011-03-01,3.41
2011-04-01,3.46
2011-05-01,3.31
2011-06-01,2.96
2011-07-01,3.22
2011-08-01,2.77
2011-09-01,2.15
2011-10-01,1.8
2011-11-01,2.01
2011-12-01,2.11
2012-01-01,1.97
2012-02-01,1.87
