date,rate
1990-01-01,7.87
1990-02-01,8.35
1990-03-01,8.53
1990-04-01,8.65
1990-05-01,9.08
1990-06-01,8.38
1990-07-01,8.35
1990-08-01,8.06
1990-09-01,8.53
1990-10-01,8.38
1990-11-01,8.15
1990-12-01,7.88
1991-01-01,7.59
1991-02-01,7.45
1991-03-01,7.78
1991-04-01,7.74
1991-05-01,7.63
1991-06-01,7.8
1991-07-01,7.93
1991-08-01,7.78
1991-09-01,7.32
1991-10-01,6.9
1991-11-01,6.71
1991-12-01,6.43
1992-01-01,5.98
1992-02-01,6.52
1992-03-01,6.73
1992-04-01,6.82
1992-05-01,6.82
1992-06-01,6.69
1992-07-01,6.27
1992-08-01,5.82
1992-09-01,5.52
1992-10-01,5.18
1992-11-01,5.96
1992-12-01,6.24
1993-01-01,5.9
1993-02-01,5.55
1993-03-01,5.12
1993-04-01,5.24
1993-05-01,5.06
1993-06-01,5.28
1993-07-01,5.04
1993-08-01,5.2
1993-09-01,4.81
1993-10-01,4.72
1993-11-01,4.96
1993-12-01,5.14
1994-01-01,5.29
1994-02-01,5.1
1994-03-01,5.74
1994-04-01,6.64
1994-05-01,6.69
1994-06-01,6.74
1994-07-01,6.95
1994-08-01,6.75
1994-09-01,6.81
1994-10-01,7.35
1994-11-01,7.58
1994-12-01,7.8
1995-01-01,7.88
1995-02-01,7.56
1995-03-01,7.06
1995-04-01,7
1995-05-01,6.9
1995-06-01,5.94
1995-07-01,5.97
1995-08-01,6.22
1995-09-01,6
1995-10-01,5.98
1995-11-01,5.74
1995-12-01,5.49
1996-01-01,5.39
1996-02-01,5.24
1996-03-01,5.6
1996-04-01,6.09
1996-05-01,6.39
1996-06-01,6.64
1996-07-01,6.49
1996-08-01,6.41
1996-09-01,6.71
1996-10-01,6.39
1996-11-01,6.11
1996-12-01,5.85
1997-01-01,6.3
1997-02-01,6.21
1997-03-01,6.41
1997-04-01,6.74
1997-05-01,6.55
1997-06-01,6.52
1997-07-01,6.33
1997-08-01,6.08
1997-09-01,6.2
1997-10-01,5.93
1997-11-01,5.79
1997-12-01,5.83
1998-01-01,5.63
1998-02-01,5.43
1998-03-01,5.67
1998-04-01,5.59
1998-05-01,5.63
1998-06-01,5.53
1998-07-01,5.43
1998-08-01,5.46
1998-09-01,4.91
1998-10-01,4.1
1998-11-01,4.39
1998-12-01,4.43
1999-01-01,4.57
1999-02-01,4.65
1999-03-01,5.32
1999-04-01,5.15
1999-05-01,5.25
1999-06-01,5.74
1999-07-01,5.73
1999-08-01,5.85
1999-09-01,5.88
1999-10-01,5.9
1999-11-01,6
1999-12-01,6.14
2000-01-01,6.5
2000-02-01,6.68
2000-03-01,6.59
2000-04-01,6.3
2000-05-01,6.59
2000-06-01,6.44
2000-07-01,6.12
2000-08-01,6.12
2000-09-01,5.92
2000-10-01,5.86
2000-11-01,5.79
2000-12-01,5.46
2001-01-01,4.76
2001-02-01,4.78
2001-03-01,4.67
2001-04-01,4.66
2001-05-01,4.94
2001-06-01,4.94
2001-07-01,4.88
2001-08-01,4.62
2001-09-01,4.63
2001-10-01,3.9
2001-11-01,3.66
2001-12-01,4.04
