date,rate
1990-01-01,7.87
1990-02-01,8.28
1990-03-01,8.53
1990-04-01,8.62
1990-05-01,9.02
1990-06-01,8.33
1990-07-01,8.25
1990-08-01,7.85
1990-09-01,8.09
1990-10-01,7.94
1990-11-01,7.68
1990-12-01,7.51
1991-01-01,7.08
1991-02-01,6.83
1991-03-01,7.18
1991-04-01,7.01
1991-05-01,6.8
1991-06-01,6.79
1991-07-01,6.97
1991-08-01,6.84
1991-09-01,6.33
1991-10-01,5.99
1991-11-01,5.65
1991-12-01,5.33
1992-01-01,4.77
1992-02-01,5.15
1992-03-01,5.45
1992-04-01,5.53
1992-05-01,5.33
1992-06-01,5.29
1992-07-01,4.82
1992-08-01,4.4
1992-09-01,4.12
1992-10-01,3.67
1992-11-01,4.47
1992-12-01,4.81
1993-01-01,4.48
1993-02-01,4.19
1993-03-01,3.88
1993-04-01,3.94
1993-05-01,3.75
1993-06-01,4.16
1993-07-01,3.99
1993-08-01,4.19
1993-09-01,3.88
1993-10-01,3.84
1993-11-01,4.11
1993-12-01,4.2
1994-01-01,4.3
1994-02-01,4.2
1994-03-01,4.81
1994-04-01,5.57
1994-05-01,5.81
1994-06-01,5.98
1994-07-01,6.19
1994-08-01,6.03
1994-09-01,6.15
1994-10-01,6.69
1994-11-01,6.93
1994-12-01,7.42
1995-01-01,7.73
1995-02-01,7.33
1995-03-01,6.81
1995-04-01,6.75
1995-05-01,6.62
1995-06-01,5.71
1995-07-01,5.79
1995-08-01,5.94
1995-09-01,5.78
1995-10-01,5.82
1995-11-01,5.52
1995-12-01,5.32
1996-01-01,5.18
1996-02-01,4.93
1996-03-01,5.26
1996-04-01,5.79
1996-05-01,6.03
1996-06-01,6.26
1996-07-01,6.15
1996-08-01,6.08
1996-09-01,6.35
1996-10-01,6.03
1996-11-01,5.79
1996-12-01,5.61
1997-01-01,5.97
1997-02-01,5.89
1997-03-01,6.11
1997-04-01,6.42
1997-05-01,6.27
1997-06-01,6.23
1997-07-01,6.02
1997-08-01,5.89
1997-09-01,5.94
1997-10-01,5.75
1997-11-01,5.69
1997-12-01,5.78
